 Wavelength,Absorption value,Emission value
350,0.085,-
400,0.151,-
450,0.282,-
500,0.321,0.049
550,0.761,0.022
600,0.05,0.984
650,0.006,0.105
700,0.003,0.009
750,0.002,-
